Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-396
Date,"October 2, 1996"
Associated Legislation,S. 1010
Committee,Committee on Energy and Natural Resources
Calendar,590
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1010) to amend the ``unit of general local government'' definition for Federal payments in lieu of taxes to include unorganized boroughs in Alaska, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill as amended do pass."
